Status  time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
13 5    -           0.01           -            0.00       12016      0                -                1
13 6    -           0.02           -            0.00       -          0                -                1
13      Infeasible  -              -            -          -          -                1                -
14 2    -           0.00           -            0.00       32         32               -                0
14 3    -           0.01           -            0.00       66         0                -                0
14 4    -           0.02           -            0.00       -          120              -                -
14 5    -           0.02           -            0.00       6833       0                -                1
14 6    -           0.02           5104         901.03     -          0                -                1
14 7    -           0.03           -            0.01       2305       0                -                1
14      Infeasible  -              -            -          -          -                1                -
15 2    -           0.01           -            0.00       32         32               -                0
15 3    -           0.01           -            0.01       66         66               -                0
15 4    -           0.03           -            0.00       60         60               -                0
15 5    -           0.03           -            0.00       -          0                -                -
15 6    -           0.03           -            0.01       137        0                -                0
15 7    -           0.06           -            0.00       -          265              -                1
15      Infeasible  -              -            -          -          -                1                -
16 2    -           0.01           -            0.00       32         32               -                0
16 3    -           0.02           -            0.00       66         66               -                0
16 4    -           0.03           -            0.00       60         60               -                0
16 5    -           0.03           -            0.01       126        153              -                0
16 6    -           0.04           -            0.01       137        137              -                0
16 7    -           0.06           -            0.01       155        0                -                0
16 8    -           0.06           -            0.00       -          0                -                1
16      Infeasible  -              -            -          -          -                1                -
17 2    -           0.01           -            0.00       32         32               -                0
17 3    -           0.02           -            0.00       66         66               -                0
17 4    -           0.03           -            0.01       60         60               -                0
17 5    -           0.02           -            0.01       126        0                -                0
17 6    -           0.04           -            0.01       137        0                -                0
17 7    -           0.05           -            0.02       155        0                -                0
17 8    -           0.08           -            0.01       202        0                -                0
17      Infeasible  -              -            -          -          -                1                -
18 2    -           0.01           -            0.00       32         32               -                0
18 3    -           0.01           -            0.00       -          66               -                -
18 4    -           0.03           -            0.01       60         77               -                0
18 5    -           0.03           -            0.01       126        0                -                0
18 6    -           0.05           -            0.00       -          0                -                -
18 7    -           0.07           -            0.00       -          0                -                1
18 8    -           0.10           -            0.00       -          0                -                1
18 9    -           0.19           -            0.01       217        0                -                0
18      Infeasible  -              -            -          -          -                1                -
19 2    -           0.01           -            0.00       -          32               -                -
19 3    -           0.02           -            0.00       66         66               -                0
19 4    -           0.06           -            0.01       60         60               -                0
19 5    -           0.07           -            0.01       126        126              -                0
19 6    -           0.11           -            0.01       137        137              -                0
19 7    -           0.19           -            0.01       155        198              -                0
19 8    -           0.24           -            25.83      -          332              -                -
19 9    -           583.58         -            0.24       217        -                -                0
19      Infeasible  -              -            -          -          -                1                -
20 10   -           0.23           -            0.00       -          0                -                1
20 2    -           0.01           -            0.01       64         64               -                0
20 3    -           0.02           -            0.01       66         66               -                0
20 4    -           0.03           -            0.01       60         60               -                0
20 5    -           0.03           -            0.01       126        153              -                0
20 6    -           0.06           -            0.01       137        137              -                0
20 7    -           0.07           -            0.01       190        0                -                0
20 8    -           0.09           -            0.01       239        0                -                0
20 9    -           0.09           -            0.01       282        0                -                0
20      Infeasible  -              -            -          -          -                1                -
21 10   -           0.16           -            0.00       -          0                -                1
21 2    -           0.01           -            0.01       32         32               -                0
21 3    -           0.02           -            0.01       66         66               -                0
21 4    -           0.07           -            0.01       60         60               -                0
21 5    -           0.04           -            0.01       126        0                -                0
21 6    -           0.07           -            0.01       137        163              -                0
21 7    -           0.17           -            0.00       -          191              -                1
21 8    -           0.13           -            0.01       202        0                -                0
21 9    -           0.24           -            0.01       217        253              -                0
21      Infeasible  -              -            -          -          -                1                -
22 10   -           0.18           -            0.01       27515      0                -                1
22 11   -           0.22           -            0.01       286        0                -                0
22 2    -           0.01           -            0.01       32         32               -                0
22 3    -           0.02           -            0.01       66         66               -                0
22 4    -           0.05           -            0.01       60         60               -                0
22 5    -           0.07           -            0.01       126        0                -                0
22 6    -           0.06           -            0.01       137        0                -                0
22 7    -           0.10           -            0.01       180        0                -                0
22 8    -           0.10           -            0.01       202        0                -                0
22 9    -           0.22           -            0.01       217        0                -                0
22      Infeasible  -              -            -          -          -                1                -
23 10   -           0.19           -            0.00       -          0                -                1
23 11   -           0.24           -            0.00       -          0                -                1
23 2    -           0.01           -            0.01       32         32               -                0
23 3    -           0.02           -            0.01       66         66               -                0
23 4    -           0.05           -            0.01       60         75               -                0
23 5    -           0.04           -            0.01       126        0                -                0
23 6    -           0.06           137          901.04     -          0                -                0
23 7    -           0.10           -            0.01       164        0                -                0
23 8    -           0.17           -            0.01       223        0                -                0
23 9    -           0.16           -            0.01       217        326              -                0
23      Infeasible  -              -            -          -          -                1                -
24 10   -           0.22           -            0.00       -          0                -                1
24 11   -           0.28           -            0.00       -          0                -                1
24 12   -           0.36           -            0.00       -          0                -                1
24 2    -           0.01           -            0.01       32         32               -                0
24 3    -           0.02           -            0.01       66         66               -                0
24 4    -           0.06           -            0.00       -          60               -                -
24 5    -           0.04           -            0.01       126        0                -                0
24 6    -           0.07           -            0.01       137        0                -                0
24 7    -           0.09           -            0.01       171        0                -                0
24 8    -           0.15           269          901.02     -          0                -                0
24 9    -           0.18           -            0.01       217        0                -                0
24      Infeasible  -              -            -          -          -                1                -
25 10   -           0.40           -            0.01       276        606              -                0
25 11   -           2.92           -            0.02       261        319              -                0
25 12   -           0.97           -            0.02       306        408              -                0
25 2    -           0.02           -            0.01       32         32               -                0
25 3    -           0.03           -            0.01       66         66               -                0
25 4    -           0.13           -            0.01       60         60               -                0
25 5    -           0.08           -            0.01       126        126              -                0
25 6    -           0.23           -            0.01       137        137              -                0
25 7    -           1.01           -            0.01       155        189              -                0
25 8    -           0.72           -            0.01       202        241              -                0
25 9    -           0.39           -            0.02       217        217              -                0
25      Infeasible  -              -            -          -          -                1                -
26      -           -              -            -          -          -                1                -
26 10   -           0.29           -            0.00       -          0                -                1
26 11   -           1.00           -            0.02       261        0                -                0
26 12   -           0.51           -            0.00       -          0                -                1
26 13   -           0.46           -            0.00       -          0                -                1
26 2    -           0.02           -            0.01       32         32               -                0
26 3    -           0.03           -            0.01       66         66               -                0
26 4    -           0.08           -            0.00       -          60               -                -
26 5    -           0.08           -            0.00       -          153              -                -
26 6    -           0.22           -            0.01       137        163              -                0
26 7    -           0.21           -            0.01       176        249              -                0
26 8    -           0.19           -            0.01       202        0                -                0
26 9    -           0.63           -            0.01       217        235              -                0
27      -           -              -            -          -          -                1                -
27 10   -           1.75           -            0.00       -          394              -                1
27 11   -           3.77           -            0.01       261        299              -                0
27 12   -           3.66           -            0.02       306        371              -                0
27 13   -           6.42           -            0.00       -          465              -                1
27 2    -           0.02           -            0.01       32         32               -                0
27 3    -           0.03           -            0.00       -          66               -                -
27 4    -           0.10           -            0.01       60         60               -                0
27 5    -           0.11           -            0.01       126        126              -                0
27 6    -           0.28           -            0.01       137        137              -                0
27 7    -           0.99           -            0.01       155        170              -                0
27 8    -           1.16           -            0.01       202        223              -                0
27 9    -           1.54           -            0.01       217        217              -                0
28      -           -              -            -          -          -                1                -
28 10   -           0.44           -            0.00       -          0                -                1
28 11   -           0.85           -            0.00       -          504              -                1
28 12   -           0.67           -            0.00       -          0                -                1
28 13   -           0.67           -            0.02       412        0                -                0
28 14   -           1.08           -            0.00       -          0                -                1
28 2    -           0.03           -            0.00       -          32               -                -
28 3    -           0.03           -            0.01       66         66               -                0
28 4    -           0.08           -            0.01       60         60               -                0
28 5    -           0.12           -            0.00       -          126              -                -
28 6    -           0.16           -            0.01       137        137              -                0
28 7    -           0.30           -            0.00       -          235              -                1
28 8    -           0.38           -            0.01       223        275              -                0
28 9    -           1.29           -            0.01       217        235              -                0
29      -           -              -            -          -          -                1                -
29 10   -           0.69           -            0.01       276        418              -                0
29 11   -           2.53           -            0.01       261        321              -                0
29 12   -           1.76           -            0.01       306        517              -                0
29 13   -           2.60           -            0.02       324        418              -                0
29 14   -           1.07           -            0.02       421        0                -                0
29 2    -           0.02           -            0.01       32         32               -                0
29 3    -           0.03           -            0.01       66         66               -                0
29 4    -           0.16           -            0.01       60         60               -                0
29 5    -           0.12           -            0.01       126        126              -                0
29 6    -           0.24           -            0.01       137        137              -                0
29 7    -           1.18           -            0.01       155        174              -                0
29 8    -           0.96           -            0.01       202        233              -                0
29 9    -           1.28           -            0.01       217        217              -                0
30      -           -              -            -          -          -                1                -
30 10   -           0.97           -            0.02       292        475              -                0
30 11   -           4.13           -            0.02       261        391              -                0
30 12   -           1.54           -            0.02       306        434              -                0
30 13   -           0.81           -            0.00       -          0                -                1
30 14   -           1.29           -            0.02       421        0                -                0
30 15   -           12.09          -            0.02       421        822              -                0
30 2    -           0.02           -            0.01       32         32               -                0
30 3    -           0.04           -            0.00       -          66               -                -
30 4    -           0.13           -            0.01       60         60               -                0
30 5    -           0.12           -            0.01       126        126              -                0
30 6    -           0.29           -            0.01       137        137              -                0
30 7    -           0.71           -            0.01       155        199              -                0
30 8    -           0.67           -            0.01       213        281              -                0
30 9    -           1.11           -            0.01       217        217              -                0
31      -           -              -            -          -          -                1                -
31 10   -           0.56           -            0.02       276        0                -                0
31 11   -           1.38           -            0.01       261        322              -                0
31 12   -           1.35           -            0.00       -          533              -                1
31 13   -           1.16           -            0.02       324        471              -                0
31 14   -           1.32           -            0.00       -          0                -                1
31 15   -           7.42           -            0.00       -          628              -                1
31 2    -           0.02           -            0.00       -          32               -                -
31 3    -           0.03           -            0.00       -          66               -                -
31 4    -           0.14           -            0.01       60         60               -                0
31 5    -           0.11           -            0.01       126        153              -                0
31 6    -           0.29           -            0.01       137        164              -                0
31 7    -           0.79           -            0.01       155        209              -                0
31 8    -           0.70           -            0.01       202        279              -                0
31 9    -           0.68           -            0.01       217        235              -                0
32      -           -              -            -          -          -                1                -
32 10   -           1.51           -            0.01       276        466              -                0
32 11   -           3.12           -            0.01       261        261              -                0
32 12   -           3.10           -            0.02       306        521              -                0
32 13   -           1.06           -            0.00       -          0                -                1
32 14   -           1.54           -            0.03       421        0                -                0
32 15   -           14.70          -            0.02       421        0                -                0
32 2    -           0.02           -            0.01       32         32               -                0
32 3    -           0.03           -            0.00       -          66               -                -
32 4    -           0.20           -            0.01       60         60               -                0
32 5    -           0.18           -            0.01       126        126              -                0
32 6    -           0.47           -            0.01       137        137              -                0
32 7    -           0.94           -            0.01       155        180              -                0
32 8    -           1.50           -            0.01       202        254              -                0
32 9    -           2.34           -            0.01       217        217              -                0
33      -           -              -            -          -          -                1                -
33 10   -           1.47           -            0.01       276        386              -                0
33 11   -           4.35           -            0.02       261        305              -                0
33 12   -           4.96           -            0.02       306        387              -                0
33 13   -           4.49           -            0.00       -          369              -                1
33 14   -           1.89           -            0.00       -          0                -                1
33 15   -           14.34          -            0.02       421        595              -                0
33 2    -           0.02           -            0.01       32         32               -                0
33 3    -           0.04           -            0.00       -          66               -                -
33 4    -           0.19           -            0.01       60         60               -                0
33 5    -           0.16           -            0.01       126        126              -                0
33 6    -           0.48           -            0.01       137        137              -                0
33 7    -           1.57           -            0.01       155        170              -                0
33 8    -           1.50           -            0.01       202        233              -                0
33 9    -           2.54           -            0.01       217        217              -                0
34      -           -              -            -          -          -                1                -
34 10   -           1.13           -            0.00       -          441              -                1
34 11   -           5.30           -            0.00       -          325              -                1
34 12   -           4.81           -            0.00       -          456              -                1
34 13   -           6.27           -            0.00       -          435              -                1
34 14   -           1.98           -            0.00       -          0                -                1
34 15   -           190.59         -            0.02       421        577              -                0
34 2    -           0.02           -            0.00       -          32               -                -
34 3    -           0.05           -            0.01       66         66               -                0
34 4    -           0.21           -            0.01       60         60               -                0
34 5    -           0.21           -            0.01       126        126              -                0
34 6    -           0.50           -            0.01       137        137              -                0
34 7    -           1.43           -            0.01       155        198              -                0
34 8    -           1.62           -            0.01       223        239              -                0
34 9    -           2.79           -            0.01       217        217              -                0
35      -           -              -            -          -          -                1                -
35 10   -           4.51           -            0.01       276        375              -                0
35 11   -           5.90           -            0.02       261        261              -                0
35 12   -           5.68           -            0.01       306        455              -                0
35 13   -           4.01           -            0.00       -          420              -                1
35 14   -           9.68           -            0.02       421        662              -                0
35 15   -           92.48          -            0.02       421        532              -                0
35 2    -           0.02           -            0.00       -          32               -                -
35 3    -           0.06           -            0.00       -          66               -                -
35 4    -           0.31           -            0.01       60         60               -                0
35 5    -           0.26           -            0.01       126        126              -                0
35 6    -           0.57           -            0.01       137        137              -                0
35 7    -           1.93           -            0.01       155        172              -                0
35 8    -           2.08           -            0.01       202        231              -                0
35 9    -           3.78           -            0.01       217        217              -                0
36      -           -              -            -          -          -                1                -
36 10   -           2.06           -            0.02       276        363              -                0
36 11   -           6.81           -            0.01       261        279              -                0
36 12   -           6.65           -            0.02       306        352              -                0
36 13   -           5.34           -            0.03       359        442              -                0
36 14   -           7.39           -            0.02       421        682              -                0
36 15   -           18.10          -            0.02       421        522              -                0
36 2    -           0.03           -            0.01       32         32               -                0
36 3    -           0.06           -            0.01       66         66               -                0
36 4    -           0.28           -            0.01       60         60               -                0
36 5    -           0.22           -            0.01       126        153              -                0
36 6    -           0.56           -            0.01       137        137              -                0
36 7    -           1.60           -            0.01       155        155              -                0
36 8    -           2.34           -            0.01       202        202              -                0
36 9    -           4.15           -            0.01       217        217              -                0
37      -           -              -            -          -          -                1                -
37 10   -           3.18           -            0.01       292        434              -                0
37 11   -           6.60           -            0.00       -          278              -                1
37 12   -           8.76           -            0.02       306        402              -                0
37 13   -           7.76           -            0.02       324        377              -                0
37 14   -           7.92           -            0.03       421        532              -                0
37 15   -           272.07         -            0.00       -          438              -                1
37 2    -           0.03           -            0.01       32         32               -                0
37 3    -           0.14           -            0.00       -          66               -                -
37 4    -           0.30           -            0.01       60         60               -                0
37 5    -           0.42           -            0.01       126        126              -                0
37 6    -           0.61           -            0.01       137        137              -                0
37 7    -           1.49           -            0.01       155        155              -                0
37 8    -           2.93           -            0.01       202        234              -                0
37 9    -           14.51          -            0.02       217        217              -                0
38      -           -              -            -          -          -                1                -
38 10   -           1.92           -            0.02       276        317              -                0
38 11   -           5.01           -            0.01       261        312              -                0
38 12   -           11.34          -            0.02       306        352              -                0
38 13   -           5.27           -            0.00       -          421              -                1
38 14   -           4.39           -            0.00       -          658              -                1
38 15   -           18.15          -            0.02       421        527              -                0
38 2    -           0.03           -            0.01       32         32               -                0
38 3    -           0.06           -            0.00       -          66               -                -
38 4    -           0.31           -            0.01       60         60               -                0
38 5    -           0.30           -            0.01       126        126              -                0
38 6    -           0.67           -            0.01       137        137              -                0
38 7    -           1.38           -            0.01       155        170              -                0
38 8    -           2.40           -            0.01       202        251              -                0
38 9    -           2.28           -            0.02       217        217              -                0
39      -           -              -            -          -          -                1                -
39 10   -           4.23           -            0.01       292        380              -                0
39 11   -           5.36           -            0.02       261        287              -                0
39 12   -           7.22           -            0.00       -          368              -                1
39 13   -           1.86           -            0.03       348        0                -                0
39 14   -           7.64           -            0.03       421        511              -                0
39 15   -           355.75         -            0.02       421        445              -                0
39 2    -           0.03           -            0.01       32         32               -                0
39 3    -           0.12           -            0.01       66         66               -                0
39 4    -           0.30           -            0.01       60         60               -                0
39 5    -           0.29           -            0.01       126        126              -                0
39 6    -           0.69           -            0.01       137        137              -                0
39 7    -           1.48           -            0.01       155        172              -                0
39 8    -           2.36           -            0.01       223        254              -                0
39 9    -           5.20           -            0.01       217        217              -                0
40      -           -              -            -          -          -                1                -
40 10   -           2.90           -            0.02       276        328              -                0
40 11   -           5.88           -            0.01       261        261              -                0
40 12   -           6.96           -            0.02       331        389              -                0
40 13   -           19.01          -            0.02       348        398              -                0
40 14   -           18.84          -            0.02       421        597              -                0
40 15   -           110.72         -            0.03       421        471              -                0
40 2    -           0.03           -            0.01       32         32               -                0
40 3    -           0.08           -            0.01       66         66               -                0
40 4    -           0.44           -            0.01       60         60               -                0
40 5    -           0.32           -            0.01       126        126              -                0
40 6    -           0.75           -            0.01       137        137              -                0
40 7    -           1.36           -            0.01       155        155              -                0
40 8    -           1.71           -            0.01       202        218              -                0
40 9    -           11.54          -            0.01       217        217              -                0
41      -           -              -            -          -          -                1                -
41 10   -           5.66           -            0.02       276        348              -                0
41 11   -           24.62          -            0.01       261        279              -                0
41 12   -           9.02           -            0.02       306        368              -                0
41 13   -           28.29          -            0.02       324        418              -                0
41 14   -           10.50          -            0.02       421        534              -                0
41 15   -           570.26         -            0.03       421        468              -                0
41 2    -           0.03           -            0.01       32         32               -                0
41 3    -           0.16           -            0.01       66         66               -                0
41 4    -           0.37           -            0.01       60         60               -                0
41 5    -           0.35           -            0.01       126        126              -                0
41 6    -           0.90           -            0.01       137        137              -                0
41 7    -           2.44           -            0.01       155        170              -                0
41 8    -           2.88           -            0.01       202        202              -                0
41 9    -           5.93           -            0.01       217        217              -                0
42      -           -              -            -          -          -                1                -
42 10   -           6.15           -            0.01       276        368              -                0
42 11   -           24.01          -            0.02       261        261              -                0
42 12   -           13.48          -            0.02       306        322              -                0
42 13   -           10.38          -            0.02       324        339              -                0
42 14   -           16.79          -            25.85      -          517              -                -
42 15   -           906.71         -            0.03       421        -                -                0
42 2    -           0.03           -            0.01       32         32               -                0
42 3    -           0.18           -            0.01       66         66               -                0
42 4    -           0.33           -            0.01       60         60               -                0
42 5    -           0.41           -            0.01       126        126              -                0
42 6    -           1.17           -            0.01       137        137              -                0
42 7    -           2.75           -            0.01       155        155              -                0
42 8    -           3.75           -            0.01       202        217              -                0
42 9    -           12.69          -            0.01       217        217              -                0
43      -           -              -            -          -          -                1                -
43 10   -           6.97           -            0.02       276        352              -                0
43 11   -           22.82          -            0.00       -          261              -                1
43 12   -           15.13          -            0.02       306        347              -                0
43 13   -           12.06          -            0.02       324        363              -                0
43 14   -           89.22          -            30.81      -          477              -                -
43 15   -           908.40         -            0.03       421        -                -                0
43 2    -           0.04           -            0.01       32         32               -                0
43 3    -           0.19           -            0.01       66         66               -                0
43 4    -           0.43           -            0.01       60         60               -                0
43 5    -           0.49           -            0.01       126        126              -                0
43 6    -           0.98           -            0.01       137        137              -                0
43 7    -           3.41           -            0.01       155        170              -                0
43 8    -           4.12           -            0.02       202        223              -                0
43 9    -           20.37          -            0.01       217        217              -                0
44      -           -              -            -          -          -                1                -
44 10   -           4.06           -            0.02       276        336              -                0
44 11   -           8.09           -            0.02       261        296              -                0
44 12   -           10.54          -            0.03       306        393              -                0
44 13   -           9.51           -            0.03       324        394              -                0
44 14   -           66.30          -            0.02       421        605              -                0
44 15   -           177.78         -            0.03       421        451              -                0
44 2    -           0.04           -            0.00       -          32               -                -
44 3    -           0.19           -            0.01       66         66               -                0
44 4    -           0.35           -            0.01       60         60               -                0
44 5    -           0.47           -            0.01       126        126              -                0
44 6    -           1.02           -            0.01       137        137              -                0
44 7    -           2.00           -            0.01       155        170              -                0
44 8    -           3.30           -            0.01       202        233              -                0
44 9    -           5.64           -            0.01       217        217              -                0
45      -           -              -            -          -          -                1                -
45 10   -           6.79           -            0.02       276        325              -                0
45 11   -           13.73          -            0.02       261        261              -                0
45 12   -           15.17          -            0.02       306        306              -                0
45 13   -           17.18          -            0.02       324        348              -                0
45 14   -           135.64         -            0.02       421        521              -                0
45 15   -           909.03         -            0.02       421        -                -                0
45 2    -           0.04           -            0.01       32         32               -                0
45 3    -           0.18           -            0.01       66         66               -                0
45 4    -           0.47           -            0.01       60         60               -                0
45 5    -           0.55           -            0.01       126        126              -                0
45 6    -           1.39           -            0.01       137        137              -                0
45 7    -           2.94           -            0.01       155        170              -                0
45 8    -           3.99           -            0.01       202        202              -                0
45 9    -           21.45          -            0.02       217        217              -                0
46      -           -              -            -          -          -                1                -
46 10   -           4.10           -            0.02       276        339              -                0
46 11   -           29.28          -            0.02       261        296              -                0
46 12   -           11.27          -            0.02       306        306              -                0
46 13   -           12.49          -            0.02       324        339              -                0
46 14   -           10.54          -            0.03       421        529              -                0
46 15   -           26.76          -            0.02       421        485              -                0
46 2    -           0.04           -            0.00       32         32               -                0
46 3    -           0.15           -            0.00       66         66               -                0
46 4    -           0.49           -            0.01       60         60               -                0
46 5    -           0.47           -            0.01       126        126              -                0
46 6    -           1.27           -            0.01       137        137              -                0
46 7    -           2.87           -            0.01       155        170              -                0
46 8    -           3.51           -            0.01       202        218              -                0
46 9    -           5.48           -            0.01       217        217              -                0
47      -           -              -            -          -          -                1                -
47 10   -           7.95           -            0.02       276        301              -                0
47 11   -           30.27          -            0.02       261        278              -                0
47 12   -           16.98          -            0.02       306        331              -                0
47 13   -           14.71          -            0.02       324        348              -                0
47 14   -           373.46         -            0.03       421        533              -                0
47 15   -           910.54         -            0.02       421        -                -                0
47 2    -           0.04           -            0.01       32         32               -                0
47 3    -           0.22           -            0.01       66         66               -                0
47 4    -           0.57           -            0.01       60         60               -                0
47 5    -           0.74           -            0.01       126        126              -                0
47 6    -           1.34           -            0.01       137        137              -                0
47 7    -           7.27           -            0.01       155        170              -                0
47 8    -           4.45           -            0.01       202        202              -                0
47 9    -           8.14           -            0.01       217        217              -                0
48      -           -              -            -          -          -                1                -
48 10   -           27.18          -            0.02       276        291              -                0
48 11   -           35.86          -            0.02       261        261              -                0
48 12   -           106.21         -            0.02       306        347              -                0
48 13   -           57.41          -            0.02       324        324              -                0
48 14   -           158.30         -            0.02       421        473              -                0
48 15   -           911.66         -            0.03       421        -                -                0
48 2    -           0.04           -            0.01       32         32               -                0
48 3    -           0.19           -            0.01       66         66               -                0
48 4    -           0.56           -            0.01       60         60               -                0
48 5    -           0.67           -            0.01       126        126              -                0
48 6    -           1.35           -            0.01       137        137              -                0
48 7    -           3.58           -            0.01       155        155              -                0
48 8    -           5.96           -            0.01       202        202              -                0
48 9    -           18.48          -            0.01       217        217              -                0
49      -           -              -            -          -          -                1                -
49 10   -           6.63           -            0.02       276        369              -                0
49 11   -           22.07          -            0.02       261        296              -                0
49 12   -           12.67          -            0.02       306        336              -                0
49 13   -           12.61          -            0.02       359        385              -                0
49 14   -           21.32          -            0.02       421        592              -                0
49 15   -           356.31         -            0.02       421        465              -                0
49 2    -           0.04           -            0.01       32         32               -                0
49 3    -           0.14           -            0.01       66         66               -                0
49 4    -           0.54           -            0.01       60         60               -                0
49 5    -           0.62           -            0.01       126        126              -                0
49 6    -           1.39           -            0.01       137        137              -                0
49 7    -           3.70           -            0.01       155        170              -                0
49 8    -           4.09           -            0.02       202        217              -                0
49 9    -           6.28           -            0.01       217        217              -                0
50      -           -              -            -          -          -                1                -
50 10   -           11.62          -            0.02       276        292              -                0
50 11   -           59.84          -            0.02       261        261              -                0
50 12   -           56.44          -            0.02       306        322              -                0
50 13   -           81.03          -            0.03       324        339              -                0
50 14   -           907.31         -            0.02       421        -                -                0
50 15   -           913.57         -            0.02       421        -                -                0
50 2    -           0.05           -            0.01       32         32               -                0
50 3    -           0.24           -            0.01       -          66               -                -
50 4    -           0.62           -            0.01       60         60               -                0
50 5    -           0.78           -            0.01       126        126              -                0
50 6    -           2.04           -            0.01       137        137              -                0
50 7    -           4.58           -            0.01       155        155              -                0
50 8    -           5.70           -            0.01       202        202              -                0
50 9    -           26.01          -            0.01       217        217              -                0
51      -           -              -            -          -          -                1                -
52      -           -              -            -          -          -                1                -
53      -           -              -            -          -          -                1                -
54      -           -              -            -          -          -                1                -
55      -           -              -            -          -          -                1                -
56      -           -              -            -          -          -                1                -
57      -           -              -            -          -          -                1                -
58      -           -              -            -          -          -                1                -
59      -           -              -            -          -          -                1                -
60      -           -              -            -          -          -                1                -
61      -           -              -            -          -          -                1                -
62      -           -              -            -          -          -                1                -
63      -           -              -            -          -          -                1                -
64      -           -              -            -          -          -                1                -
65      -           -              -            -          -          -                1                -
66      -           -              -            -          -          -                1                -
67      -           -              -            -          -          -                1                -
68      -           -              -            -          -          -                1                -
69      -           -              -            -          -          -                1                -
70      -           -              -            -          -          -                1                -
71      -           -              -            -          -          -                1                -
72      -           -              -            -          -          -                1                -
73      -           -              -            -          -          -                1                -
74      -           -              -            -          -          -                1                -
75      -           -              -            -          -          -                1                -
76      -           -              -            -          -          -                1                -
77      -           -              -            -          -          -                1                -
78      -           -              -            -          -          -                1                -
79      -           -              -            -          -          -                1                -
80      -           -              -            -          -          -                1                -
81      -           -              -            -          -          -                1                -
82      -           -              -            -          -          -                1                -
83      -           -              -            -          -          -                1                -
84      -           -              -            -          -          -                1                -
85      -           -              -            -          -          -                1                -
86      -           -              -            -          -          -                1                -
