time cplex  10bestcguCost  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
32 14       902.50         -            0.02       369        -                -                0
32 15       154.70         -            0.02       284        284              -                0
32 2        0.02           -            0.01       20         20               -                0
32 3        0.17           -            0.01       35         35               -                0
32 4        0.27           -            0.01       81         81               -                0
32 5        0.82           -            0.01       78         78               -                0
32 6        3.54           -            0.01       97         97               -                0
32 7        6.03           -            0.01       130        149              -                0
32 8        12.47          -            0.01       136        136              -                0
32 9        12.61          -            0.01       177        195              -                0
33 10       4.87           -            0.02       196        218              -                0
33 11       6.02           -            0.02       229        247              -                0
33 12       9.25           -            0.02       240        240              -                0
33 13       174.66         -            0.03       374        0                -                0
33 14       662.07         -            0.02       369        629              -                0
33 15       60.76          -            0.02       284        284              -                0
33 2        0.03           -            0.01       20         20               -                0
33 3        0.10           -            0.01       35         35               -                0
33 4        0.25           -            0.01       81         81               -                0
33 5        0.41           -            0.01       78         78               -                0
33 6        2.14           -            0.01       97         97               -                0
33 7        1.60           -            0.01       130        149              -                0
33 8        3.64           -            0.01       136        136              -                0
33 9        2.89           -            0.01       177        177              -                0
34 10       21.06          -            0.01       196        196              -                0
34 11       34.37          -            0.02       229        229              -                0
34 12       14.99          -            0.01       240        240              -                0
34 13       902.67         -            0.02       374        -                -                0
34 14       903.03         -            0.02       369        -                -                0
34 15       279.32         -            0.02       284        284              -                0
34 2        0.03           -            0.01       20         20               -                0
34 3        0.18           -            0.01       35         35               -                0
34 4        0.28           -            0.01       81         81               -                0
34 5        0.52           -            0.01       78         78               -                0
34 6        4.39           -            0.01       97         97               -                0
34 7        6.65           -            0.01       130        130              -                0
34 8        12.91          -            0.01       136        136              -                0
34 9        15.96          -            0.02       177        192              -                0
35 10       29.65          -            0.01       196        196              -                0
35 11       60.81          -            0.01       229        229              -                0
35 12       96.11          -            0.02       240        240              -                0
35 13       902.94         -            0.02       374        -                -                0
35 14       903.04         -            0.04       369        -                -                0
35 15       902.35         -            0.02       284        -                -                0
35 2        0.03           -            0.01       20         20               -                0
35 3        0.20           -            0.01       35         35               -                0
35 4        0.33           -            0.01       81         81               -                0
35 5        1.14           -            0.01       78         78               -                0
35 6        5.69           -            0.01       97         97               -                0
35 7        2.43           -            0.01       130        130              -                0
35 8        17.07          -            0.01       136        136              -                0
35 9        17.09          -            0.01       177        177              -                0
36 10       26.67          -            0.01       196        196              -                0
36 11       27.43          -            0.02       229        229              -                0
36 12       79.71          -            0.01       240        240              -                0
36 13       541.22         -            0.03       374        389              -                0
36 14       903.33         -            0.02       369        -                -                0
36 15       511.79         -            0.02       284        284              -                0
36 2        0.03           -            0.01       20         20               -                0
36 3        0.17           -            0.01       35         35               -                0
36 4        0.34           -            0.01       81         81               -                0
36 5        1.07           -            0.01       78         78               -                0
36 6        3.81           -            0.01       97         97               -                0
36 7        8.45           -            0.01       130        130              -                0
36 8        14.27          -            0.01       136        136              -                0
36 9        5.57           -            0.02       177        177              -                0
37 10       63.94          -            0.01       196        196              -                0
37 11       68.06          -            0.01       229        229              -                0
37 12       310.60         -            0.01       240        240              -                0
37 13       903.61         -            0.03       374        -                -                0
37 14       903.88         -            0.03       369        -                -                0
37 15       903.25         -            0.03       284        -                -                0
37 2        0.03           -            0.01       20         20               -                0
37 3        0.22           -            0.01       35         35               -                0
37 4        0.42           -            0.01       81         81               -                0
37 5        1.90           -            0.01       78         78               -                0
37 6        4.68           -            0.01       97         97               -                0
37 7        8.33           -            0.01       130        130              -                0
37 8        65.14          -            0.01       136        136              -                0
37 9        22.76          -            0.01       177        177              -                0
38 10       55.61          -            0.01       196        196              -                0
38 11       60.11          -            0.01       229        229              -                0
38 12       120.24         -            0.02       240        240              -                0
38 13       904.16         -            0.02       374        -                -                0
38 14       904.34         -            44.08      -          -                -                -
38 15       885.61         -            0.07       284        284              -                0
38 2        0.03           -            0.01       20         20               -                0
38 3        0.23           -            0.01       35         35               -                0
38 4        0.40           -            0.01       81         81               -                0
38 5        1.33           -            0.01       78         78               -                0
38 6        5.45           -            0.01       97         97               -                0
38 7        8.57           -            0.01       130        130              -                0
38 8        27.90          -            0.01       136        136              -                0
38 9        21.77          -            0.01       177        177              -                0
39 10       30.76          -            0.01       196        196              -                0
39 11       55.16          -            0.02       229        229              -                0
39 12       93.73          -            0.02       240        240              -                0
39 13       721.24         -            0.02       374        438              -                0
39 14       904.95         -            0.02       369        -                -                0
39 15       498.11         -            0.02       284        284              -                0
39 2        0.03           -            0.01       20         20               -                0
39 3        0.22           -            0.01       35         35               -                0
39 4        0.44           -            0.01       81         81               -                0
39 5        0.62           -            0.01       78         78               -                0
39 6        4.20           -            0.01       97         97               -                0
39 7        8.74           -            0.01       130        130              -                0
39 8        19.73          -            0.01       136        136              -                0
39 9        17.27          -            0.01       177        177              -                0
40 10       23.45          -            0.02       196        196              -                0
40 11       29.82          -            0.01       229        229              -                0
40 12       74.45          -            0.02       240        240              -                0
40 13       725.47         -            0.03       374        428              -                0
40 14       687.47         -            0.03       369        384              -                0
40 15       697.74         -            0.02       284        284              -                0
40 2        0.03           -            0.01       20         20               -                0
40 3        0.21           -            0.01       35         35               -                0
40 4        0.40           -            0.01       81         81               -                0
40 5        0.81           -            0.01       78         78               -                0
40 6        3.27           -            0.01       97         97               -                0
40 7        6.33           -            0.01       130        130              -                0
40 8        16.88          -            0.01       136        136              -                0
40 9        5.30           -            0.02       177        177              -                0
41 10       177.71         -            0.01       196        196              -                0
41 11       179.95         -            0.01       229        229              -                0
41 12       902.68         -            0.02       240        -                -                0
41 13       905.15         -            0.02       374        -                -                0
41 14       905.41         -            0.03       369        -                -                0
41 15       904.34         -            0.03       284        -                -                0
41 2        0.04           -            0.01       20         20               -                0
41 3        0.25           -            0.01       35         35               -                0
41 4        1.67           -            0.01       81         81               -                0
41 5        2.47           -            0.01       78         78               -                0
41 6        7.13           -            0.01       97         97               -                0
41 7        12.75          -            0.01       130        130              -                0
41 8        137.62         -            0.02       136        136              -                0
41 9        45.92          -            0.01       177        177              -                0
42 10       55.87          -            0.01       196        196              -                0
42 11       55.05          -            0.02       229        229              -                0
42 12       129.12         -            0.02       240        240              -                0
42 13       905.60         -            0.03       374        -                -                0
42 14       905.53         -            0.03       369        -                -                0
42 15       904.67         -            0.03       284        -                -                0
42 2        0.04           -            0.01       20         20               -                0
42 3        0.26           -            0.01       35         35               -                0
42 4        0.51           -            0.01       81         81               -                0
42 5        1.46           -            0.01       78         78               -                0
42 6        6.37           -            0.01       97         97               -                0
42 7        9.33           -            0.01       130        130              -                0
42 8        22.96          -            0.01       136        136              -                0
42 9        21.97          -            0.01       177        177              -                0
43 10       54.61          -            0.01       196        196              -                0
43 11       88.28          -            0.01       229        229              -                0
43 12       162.89         -            0.01       240        240              -                0
43 13       905.96         -            0.02       374        -                -                0
43 14       906.01         -            0.02       369        -                -                0
43 15       904.72         -            0.02       284        -                -                0
43 2        0.04           -            0.00       20         20               -                0
43 3        0.27           -            0.01       35         35               -                0
43 4        0.53           -            0.01       81         81               -                0
43 5        1.44           -            0.01       78         78               -                0
43 6        4.31           -            0.01       97         97               -                0
