# file Status  time cplex  time back10  10cguCost  cplexCost  cplexInfeasible  10cguInfeasible
1       Infeasible  -            -          -          -                1                -
2       Infeasible  -            -          -          -                1                -
3       Infeasible  -            -          -          -                1                -
4       -           -            -          -          -                1                -
28 4    -           0.28         0.01       60         60               -                0
28 5    -           2.22         0.01       86         86               -                0
28 6    -           3.05         0.01       104        104              -                0
28 7    -           8.65         0.01       112        112              -                0
28 8    -           16.80        0.02       135        135              -                0
28 9    -           17.79        0.01       155        155              -                0
29 10   -           201.17       0.02       228        228              -                0
29 11   -           97.65        0.02       237        237              -                0
29 12   -           216.71       0.02       243        243              -                0
29 13   -           341.74       0.02       235        235              -                0
29 14   -           901.52       0.03       258        -                -                0
29 2    -           0.02         0.01       14         14               -                0
29 3    -           0.18         0.01       38         38               -                0
29 4    -           0.26         0.01       60         60               -                0
29 5    -           3.41         0.01       86         86               -                0
29 6    -           4.58         0.01       104        104              -                0
29 7    -           11.78        0.01       112        112              -                0
29 8    -           10.95        0.01       135        135              -                0
29 9    -           22.07        0.01       155        155              -                0
30 10   -           151.82       0.02       228        228              -                0
30 11   -           123.05       0.01       237        237              -                0
30 12   -           253.74       0.02       243        243              -                0
30 13   -           585.46       0.02       235        235              -                0
30 14   -           901.54       0.02       258        -                -                0
30 15   -           902.25       0.04       364        -                -                0
30 2    -           0.02         0.01       14         14               -                0
30 3    -           0.17         0.01       38         38               -                0
30 4    -           0.30         0.01       60         60               -                0
30 5    -           3.42         0.01       86         86               -                0
30 6    -           2.98         0.01       104        104              -                0
30 7    -           7.81         0.01       112        112              -                0
30 8    -           9.77         0.01       135        135              -                0
30 9    -           17.06        0.01       155        155              -                0
31 10   -           80.34        0.02       228        228              -                0
31 11   -           32.06        0.02       237        237              -                0
31 12   -           120.59       0.02       243        243              -                0
31 13   -           130.51       0.02       235        235              -                0
31 14   -           473.20       0.02       258        258              -                0
31 15   -           902.41       0.04       364        -                -                0
31 2    -           0.02         0.01       14         14               -                0
31 3    -           0.16         0.01       38         38               -                0
31 4    -           0.26         0.01       60         60               -                0
31 5    -           2.79         0.01       86         86               -                0
31 6    -           3.67         0.01       104        104              -                0
31 7    -           9.05         0.01       112        112              -                0
31 8    -           7.76         0.01       135        135              -                0
31 9    -           4.72         0.01       155        155              -                0
32 10   -           128.35       0.02       228        243              -                0
32 11   -           40.57        0.01       237        237              -                0
32 12   -           224.09       0.02       243        243              -                0
32 13   -           111.56       0.02       235        235              -                0
32 14   -           307.10       0.02       258        258              -                0
32 15   -           902.45       0.04       364        -                -                0
32 2    -           0.03         0.01       14         14               -                0
32 3    -           0.18         0.01       38         38               -                0
32 4    -           0.27         0.01       60         60               -                0
32 5    -           0.41         0.01       86         86               -                0
32 6    -           4.60         0.01       104        104              -                0
32 7    -           8.91         0.01       112        112              -                0
32 8    -           2.02         0.01       135        135              -                0
32 9    -           12.61        0.01       155        155              -                0
33 10   -           71.87        0.02       228        228              -                0
33 11   -           69.62        0.03       237        237              -                0
33 12   -           194.33       0.02       243        243              -                0
33 13   -           143.03       0.02       235        235              -                0
33 14   -           866.73       0.02       258        258              -                0
33 15   -           902.80       0.04       364        -                -                0
33 2    -           0.03         0.01       14         14               -                0
33 3    -           0.16         0.01       38         38               -                0
33 4    -           0.28         0.01       60         60               -                0
33 5    -           2.35         0.01       86         86               -                0
33 6    -           3.03         0.01       104        104              -                0
33 7    -           7.83         0.01       112        112              -                0
33 8    -           10.41        0.02       135        135              -                0
33 9    -           9.13         0.01       155        155              -                0
34 10   -           285.92       0.02       228        243              -                0
34 11   -           108.07       0.02       237        237              -                0
34 12   -           901.70       0.02       243        -                -                0
34 13   -           291.71       0.02       235        235              -                0
34 14   -           902.35       0.02       258        -                -                0
34 15   -           903.36       0.03       364        -                -                0
